id	Area	Not_Highschool_Graduated_2017	Highschool_Graduated_2017	Some_College_Graduated_2017	College_Graduated_2017	Unemployment_rate_2017
38075	Renville County	0.112	0.364	0.378	0.162	0.021
19133	Monona County	0.089	0.39	0.359	0.162	0.021
38049	McHenry County	0.072	0.265	0.33	0.196	0.021
30045	Judith Basin County	0.037	0.365	0.314	0.283	0.021
19121	Madison County	0.092	0.211	0.292	0.235	0.021
38069	Pierce County	0.181	0.402	0.29	0.158	0.021
8045	Garfield County	0.125	0.285	0.288	0.302	0.021
27123	Ramsey County	0.099	0.214	0.273	0.415	0.021
8057	Jackson County	0.186	0.407	0.273	0.165	0.021
19039	Clarke County	0.185	0.443	0.242	0.172	0.021
8107	Routt County	0.039	0.207	0.238	0.516	0.021
20099	Labette County	0.128	0.322	0.374	0.176	0.022
31087	Hitchcock County	0.072	0.381	0.373	0.174	0.022
32510	Carson City	0.13	0.288	0.367	0.216	0.022
31157	Scotts Bluff County	0.128	0.286	0.366	0.221	0.022
8041	El Paso County	0.063	0.201	0.363	0.373	0.022
31105	Kimball County	0.103	0.359	0.363	0.175	0.022
31015	Boyd County	0.112	0.339	0.355	0.202	0.022
30009	Carbon County	0.061	0.279	0.348	0.311	0.022
20127	Morris County	0.118	0.364	0.336	0.181	0.022
20161	Riley County	0.041	0.174	0.329	0.455	0.022
8067	La Plata County	0.048	0.196	0.324	0.431	0.022
8029	Delta County	0.111	0.376	0.319	0.194	0.022
38013	Burke County	0.2	0.37	0.313	0.201	0.022
38023	Divide County	0.116	0.386	0.304	0.194	0.022
33007	Coos County	0.117	0.401	0.299	0.183	0.022
31171	Thomas County	0.175	0.312	0.291	0.29	0.022
49055	Wayne County	0.187	0.398	0.288	0.26	0.022
19163	Scott County	0.22	0.407	0.271	0.319	0.022
20071	Greeley County	0.114	0.348	0.235	0.303	0.022
31063	Frontier County	0.039	0.332	0.434	0.195	0.023
8027	Custer County	0.063	0.2	0.404	0.333	0.023
8099	Prowers County	0.187	0.258	0.395	0.16	0.023
8079	Mineral County	0.036	0.185	0.387	0.393	0.023
8009	Baca County	0.145	0.266	0.374	0.214	0.023
20053	Ellsworth County	0.092	0.334	0.371	0.203	0.023
31073	Gosper County	0.057	0.34	0.363	0.241	0.023
20143	Ottawa County	0.052	0.365	0.361	0.222	0.023
19083	Hardin County	0.184	0.345	0.359	0.207	0.023
31125	Nance County	0.093	0.368	0.357	0.183	0.023
31019	Buffalo County	0.062	0.254	0.349	0.336	0.023
19017	Bremer County	0.041	0.329	0.34	0.29	0.023
18179	Wells County	0.087	0.39	0.338	0.186	0.023
16031	Cassia County	0.19	0.293	0.336	0.181	0.023
8061	Kiowa County	0.046	0.409	0.335	0.21	0.023
20169	Saline County	0.099	0.321	0.325	0.25	0.023
40013	Bryan County	0.085	0.266	0.325	0.225	0.023
8085	Montrose County	0.107	0.335	0.324	0.234	0.023
31045	Dawes County	0.048	0.264	0.318	0.37	0.023
31131	Otoe County	0.088	0.382	0.315	0.214	0.023
8059	Jefferson County	0.106	0.268	0.307	0.431	0.023
8005	Arapahoe County	0.077	0.207	0.3	0.416	0.023
8031	Denver County	0.133	0.176	0.226	0.465	0.023
13319	Wilkinson County	0.174	0.521	0.215	0.09	0.023
31007	Banner County	0.043	0.327	0.456	0.174	0.024
38065	Oliver County	0.113	0.281	0.411	0.196	0.024
20065	Graham County	0.142	0.313	0.404	0.274	0.024
38081	Sargent County	0.077	0.342	0.395	0.186	0.024
31077	Greeley County	0.069	0.363	0.395	0.173	0.024
46047	Fall River County	0.065	0.313	0.392	0.23	0.024
19141	O'Brien County	0.076	0.364	0.362	0.198	0.024
19155	Pottawattamie County	0.103	0.34	0.345	0.212	0.024
46061	Hanson County	0.076	0.363	0.343	0.218	0.024
31000	Nebraska	0.091	0.267	0.336	0.306	0.024
20121	Miami County	0.147	0.412	0.316	0.259	0.024
19139	Muscatine County	0.13	0.343	0.316	0.211	0.024
33001	Belknap County	0.076	0.295	0.314	0.315	0.024
30001	Beaverhead County	0.054	0.316	0.301	0.33	0.024
55009	Brown County	0.1	0.347	0.299	0.295	0.024
19005	Allamakee County	0.131	0.396	0.297	0.175	0.024
31167	Stanton County	0.221	0.261	0.292	0.176	0.024
33005	Cheshire County	0.071	0.317	0.287	0.326	0.024
13321	Worth County	0.219	0.391	0.279	0.11	0.024
19099	Jasper County	0.239	0.381	0.276	0.181	0.024
31113	Logan County	0.162	0.444	0.273	0.227	0.024
31053	Dodge County	0.17	0.42	0.264	0.19	0.024
19131	Mitchell County	0.234	0.385	0.258	0.171	0.024
31025	Cass County	0.155	0.458	0.253	0.268	0.024
31083	Harlan County	0.286	0.349	0.252	0.187	0.024
46071	Jackson County	0.226	0.432	0.25	0.218	0.024
30107	Wheatland County	0.249	0.327	0.246	0.178	0.024
13315	Wilcox County	0.209	0.432	0.239	0.105	0.024
38019	Cavalier County	0.08	0.299	0.433	0.188	0.025
20083	Hodgeman County	0.074	0.257	0.425	0.244	0.025
31133	Pawnee County	0.096	0.305	0.416	0.159	0.025
31069	Garden County	0.052	0.298	0.408	0.242	0.025
20193	Thomas County	0.048	0.303	0.383	0.265	0.025
31173	Thurston County	0.136	0.324	0.381	0.16	0.025
48199	Hardin County	0.082	0.334	0.377	0.168	0.025
20041	Dickinson County	0.044	0.286	0.376	0.208	0.025
20109	Logan County	0.12	0.318	0.372	0.191	0.025
38041	Hettinger County	0.11	0.374	0.371	0.145	0.025
37191	Wayne County	0.13	0.369	0.37	0.197	0.025
31091	Hooker County	0.054	0.322	0.369	0.256	0.025
27093	Meeker County	0.077	0.363	0.369	0.191	0.025
31059	Fillmore County	0.088	0.34	0.364	0.192	0.025
16037	Custer County	0.103	0.314	0.356	0.226	0.025
48183	Gregg County	0.155	0.289	0.353	0.204	0.025
31071	Garfield County	0.06	0.412	0.353	0.195	0.025
38003	Barnes County	0.101	0.289	0.351	0.258	0.025
20073	Greenwood County	0.101	0.359	0.351	0.189	0.025
19093	Ida County	0.064	0.39	0.349	0.197	0.025
16021	Boundary County	0.103	0.372	0.343	0.182	0.025
55049	Iowa County	0.075	0.391	0.332	0.245	0.025
19025	Calhoun County	0.168	0.322	0.331	0.19	0.025
30065	Musselshell County	0.095	0.425	0.33	0.15	0.025
31051	Dixon County	0.116	0.377	0.319	0.188	0.025
38093	Stutsman County	0.09	0.354	0.316	0.24	0.025
8091	Ouray County	0.02	0.174	0.312	0.494	0.025
38085	Sioux County	0.1	0.315	0.31	0.173	0.025
20087	Jefferson County	0.147	0.382	0.303	0.212	0.025
8007	Archuleta County	0.095	0.233	0.302	0.37	0.025
29217	Vernon County	0.111	0.419	0.297	0.173	0.025
18029	Dearborn County	0.092	0.4	0.291	0.217	0.025
48347	Nacogdoches County	0.172	0.287	0.289	0.252	0.025
50015	Lamoille County	0.076	0.263	0.285	0.376	0.025
48357	Ochiltree County	0.244	0.299	0.274	0.183	0.025
31047	Dawson County	0.132	0.286	0.271	0.158	0.025
31137	Phelps County	0.136	0.313	0.265	0.26	0.025
31037	Colfax County	0.288	0.314	0.254	0.144	0.025
8051	Gunnison County	0.043	0.173	0.246	0.537	0.025
20015	Butler County	0.189	0.404	0.245	0.293	0.025
51001	Accomack County	0.178	0.39	0.236	0.196	0.025
8013	Boulder County	0.054	0.124	0.218	0.604	0.025
31163	Sherman County	0.052	0.354	0.412	0.183	0.026
8115	Sedgwick County	0.092	0.3	0.4	0.208	0.026
16071	Oneida County	0.09	0.364	0.395	0.151	0.026
38083	Sheridan County	0.066	0.313	0.376	0.141	0.026
20183	Smith County	0.068	0.358	0.373	0.201	0.026
20007	Barber County	0.074	0.354	0.373	0.199	0.026
38035	Grand Forks County	0.057	0.234	0.368	0.34	0.026
38039	Griggs County	0.102	0.308	0.363	0.226	0.026
30015	Chouteau County	0.065	0.325	0.354	0.256	0.026
31147	Richardson County	0.085	0.371	0.35	0.194	0.026
29009	Barry County	0.08	0.375	0.35	0.128	0.026
20189	Stevens County	0.187	0.305	0.347	0.162	0.026
31117	McPherson County	0.086	0.283	0.345	0.252	0.026
19071	Fremont County	0.121	0.323	0.345	0.208	0.026
31107	Knox County	0.12	0.357	0.344	0.208	0.026
32031	Washoe County	0.124	0.238	0.34	0.298	0.026
31149	Rock County	0.095	0.347	0.34	0.189	0.026
38063	Nelson County	0.106	0.387	0.332	0.205	0.026
30081	Ravalli County	0.09	0.316	0.329	0.265	0.026
20013	Brown County	0.067	0.394	0.328	0.212	0.026
19043	Clayton County	0.159	0.331	0.319	0.157	0.026
15000	Hawaii	0.084	0.278	0.318	0.32	0.026
8023	Costilla County	0.222	0.252	0.318	0.209	0.026
8003	Alamosa County	0.169	0.252	0.317	0.262	0.026
16003	Adams County	0.109	0.372	0.317	0.203	0.026
39173	Wood County	0.058	0.311	0.309	0.322	0.026
19115	Louisa County	0.185	0.358	0.308	0.149	0.026
40041	Delaware County	0.105	0.35	0.306	0.165	0.026
17197	Will County	0.092	0.269	0.304	0.336	0.026
18077	Jefferson County	0.057	0.207	0.304	0.174	0.026
19085	Harrison County	0.108	0.424	0.303	0.178	0.026
5135	Sharp County	0.172	0.421	0.302	0.105	0.026
27139	Scott County	0.073	0.487	0.3	0.389	0.026
39169	Wayne County	0.145	0.377	0.296	0.21	0.026
48159	Franklin County	0.191	0.4	0.296	0.198	0.026
19061	Dubuque County	0.077	0.332	0.29	0.3	0.026
48000	Texas	0.172	0.251	0.29	0.287	0.026
40139	Texas County	0.177	0.411	0.274	0.208	0.026
31061	Franklin County	0.186	0.367	0.262	0.2	0.026
19011	Benton County	0.125	0.297	0.261	0.22	0.026
18027	Daviess County	0.259	0.343	0.256	0.142	0.026
16041	Franklin County	0.227	0.391	0.254	0.202	0.026
22125	West Feliciana Parish	0.185	0.339	0.246	0.23	0.026
48251	Johnson County	0.244	0.432	0.228	0.185	0.026
31097	Johnson County	0.205	0.433	0.205	0.173	0.026
51540	Charlottesville city	0.095	0.196	0.195	0.514	0.026
20113	McPherson County	0.099	0.22	0.429	0.286	0.027
46033	Custer County	0.079	0.282	0.415	0.245	0.027
6115	Yuba County	0.179	0.246	0.412	0.164	0.027
6109	Tuolumne County	0.093	0.292	0.41	0.206	0.027
32029	Storey County	0.053	0.314	0.404	0.229	0.027
32023	Nye County	0.148	0.367	0.371	0.115	0.027
30021	Dawson County	0.074	0.36	0.368	0.198	0.027
19075	Grundy County	0.067	0.344	0.363	0.263	0.027
19063	Emmet County	0.103	0.332	0.359	0.206	0.027
31027	Cedar County	0.058	0.36	0.358	0.184	0.027
31033	Cheyenne County	0.097	0.328	0.357	0.263	0.027
38059	Morton County	0.144	0.368	0.357	0.261	0.027
19045	Clinton County	0.109	0.317	0.352	0.192	0.027
38077	Richland County	0.123	0.312	0.35	0.222	0.027
48161	Freestone County	0.182	0.351	0.35	0.117	0.027
19059	Dickinson County	0.098	0.344	0.349	0.295	0.027
27099	Mower County	0.134	0.314	0.345	0.207	0.027
19171	Tama County	0.089	0.403	0.343	0.165	0.027
55075	Marinette County	0.088	0.425	0.34	0.148	0.027
46109	Roberts County	0.118	0.372	0.335	0.175	0.027
46087	McCook County	0.117	0.336	0.333	0.215	0.027
31109	Lancaster County	0.067	0.223	0.332	0.379	0.027
16009	Benewah County	0.137	0.391	0.332	0.141	0.027
31143	Polk County	0.148	0.397	0.33	0.209	0.027
38007	Billings County	0.102	0.338	0.329	0.231	0.027
31127	Nemaha County	0.061	0.334	0.325	0.28	0.027
32027	Pershing County	0.191	0.353	0.319	0.137	0.027
31141	Platte County	0.048	0.219	0.318	0.215	0.027
8105	Rio Grande County	0.167	0.282	0.314	0.237	0.027
46053	Gregory County	0.125	0.35	0.313	0.211	0.027
16057	Latah County	0.038	0.19	0.308	0.464	0.027
6073	San Diego County	0.133	0.186	0.307	0.374	0.027
16033	Clark County	0.118	0.317	0.301	0.17	0.027
46075	Jones County	0.117	0.384	0.292	0.159	0.027
16047	Gooding County	0.221	0.347	0.285	0.147	0.027
19137	Montgomery County	0.143	0.256	0.278	0.161	0.027
46043	Douglas County	0.021	0.122	0.277	0.189	0.027
20131	Nemaha County	0.075	0.415	0.272	0.237	0.027
37189	Watauga County	0.114	0.198	0.271	0.417	0.027
47175	Van Buren County	0.152	0.455	0.264	0.099	0.027
29147	Nodaway County	0.074	0.401	0.256	0.268	0.027
45085	Sumter County	0.173	0.397	0.247	0.195	0.027
18075	Jay County	0.172	0.478	0.245	0.105	0.027
49017	Garfield County	0.039	0.344	0.422	0.211	0.028
20047	Edwards County	0.104	0.358	0.413	0.188	0.028
31151	Saline County	0.132	0.302	0.402	0.134	0.028
16023	Butte County	0.112	0.226	0.395	0.155	0.028
31057	Dundy County	0.143	0.255	0.391	0.211	0.028
49049	Utah County	0.06	0.16	0.386	0.394	0.028
31041	Custer County	0.075	0.323	0.385	0.217	0.028
18047	Franklin County	0.093	0.331	0.375	0.197	0.028
46119	Sully County	0.05	0.332	0.369	0.249	0.028
23013	Knox County	0.118	0.354	0.368	0.305	0.028
19151	Pocahontas County	0.079	0.395	0.368	0.157	0.028
31011	Boone County	0.148	0.324	0.366	0.198	0.028
31155	Saunders County	0.069	0.304	0.362	0.265	0.028
16043	Fremont County	0.072	0.358	0.361	0.211	0.028
16015	Boise County	0.065	0.284	0.36	0.292	0.028
56011	Crook County	0.121	0.34	0.36	0.207	0.028
31101	Keith County	0.084	0.339	0.357	0.22	0.028
30023	Deer Lodge County	0.106	0.372	0.352	0.171	0.028
20107	Linn County	0.053	0.272	0.352	0.141	0.028
19007	Appanoose County	0.104	0.363	0.351	0.182	0.028
31021	Burt County	0.091	0.371	0.347	0.191	0.028
19145	Page County	0.102	0.348	0.344	0.206	0.028
46085	Lyman County	0.104	0.381	0.336	0.179	0.028
20147	Phillips County	0.242	0.311	0.334	0.215	0.028
40061	Haskell County	0.306	0.185	0.333	0.129	0.028
55101	Racine County	0.104	0.319	0.332	0.244	0.028
17201	Winnebago County	0.126	0.321	0.329	0.224	0.028
8083	Montezuma County	0.1	0.294	0.326	0.28	0.028
46023	Charles Mix County	0.127	0.376	0.325	0.172	0.028
19107	Keokuk County	0.077	0.419	0.323	0.181	0.028
20173	Sedgwick County	0.109	0.263	0.322	0.307	0.028
19119	Lyon County	0.094	0.367	0.322	0.217	0.028
20103	Leavenworth County	0.084	0.285	0.321	0.31	0.028
48019	Bandera County	0.13	0.31	0.321	0.238	0.028
55023	Crawford County	0.141	0.392	0.321	0.168	0.028
45083	Spartanburg County	0.151	0.291	0.32	0.238	0.028
55115	Shawano County	0.09	0.437	0.315	0.158	0.028
55000	Wisconsin	0.083	0.313	0.314	0.29	0.028
15003	Honolulu County	0.086	0.262	0.312	0.34	0.028
40000	Oklahoma	0.125	0.315	0.312	0.248	0.028
31093	Howard County	0.187	0.35	0.311	0.201	0.028
27089	Marshall County	0.2	0.313	0.31	0.201	0.028
20177	Shawnee County	0.084	0.308	0.304	0.304	0.028
18017	Cass County	0.169	0.394	0.303	0.134	0.028
20045	Douglas County	0.118	0.315	0.301	0.5	0.028
18177	Wayne County	0.107	0.454	0.301	0.182	0.028
55029	Door County	0.062	0.315	0.296	0.327	0.028
31035	Clay County	0.267	0.337	0.293	0.178	0.028
46095	Mellette County	0.183	0.379	0.286	0.152	0.028
48503	Young County	0.174	0.345	0.285	0.196	0.028
47025	Claiborne County	0.24	0.289	0.283	0.13	0.028
8037	Eagle County	0.101	0.172	0.276	0.451	0.028
45089	Williamsburg County	0.199	0.409	0.266	0.126	0.028
29065	Dent County	0.204	0.411	0.257	0.129	0.028
37193	Wilkes County	0.214	0.416	0.227	0.154	0.028
48369	Parmer County	0.287	0.338	0.214	0.161	0.028
56023	Lincoln County	0.197	0.522	0.201	0.205	0.028
51187	Warren County	0.249	0.439	0.175	0.209	0.028
27129	Renville County	0.065	0.339	0.434	0.145	0.029
40031	Comanche County	0.075	0.329	0.411	0.219	0.029
16061	Lewis County	0.103	0.329	0.405	0.163	0.029
50011	Franklin County	0.128	0.319	0.401	0.247	0.029
31049	Deuel County	0.099	0.33	0.39	0.181	0.029
20095	Kingman County	0.069	0.318	0.381	0.233	0.029
19197	Wright County	0.095	0.352	0.377	0.175	0.029
56000	Wyoming	0.072	0.287	0.373	0.267	0.029
27003	Anoka County	0.063	0.284	0.366	0.287	0.029
20023	Cheyenne County	0.074	0.308	0.36	0.258	0.029
16059	Lemhi County	0.1	0.322	0.355	0.223	0.029
30103	Treasure County	0.064	0.356	0.349	0.231	0.029
31169	Thayer County	0.08	0.365	0.348	0.207	0.029
6067	Sacramento County	0.13	0.225	0.346	0.299	0.029
31153	Sarpy County	0.048	0.213	0.344	0.395	0.029
51101	King William County	0.104	0.372	0.335	0.19	0.029
18001	Adams County	0.083	0.349	0.335	0.149	0.029
55129	Washburn County	0.079	0.368	0.333	0.22	0.029
46003	Aurora County	0.124	0.342	0.332	0.202	0.029
46000	South Dakota	0.086	0.305	0.331	0.278	0.029
8025	Crowley County	0.151	0.437	0.33	0.081	0.029
6111	Ventura County	0.16	0.189	0.325	0.326	0.029
31129	Nuckolls County	0.069	0.415	0.325	0.191	0.029
38027	Eddy County	0.152	0.367	0.319	0.233	0.029
55057	Juneau County	0.129	0.418	0.319	0.133	0.029
18173	Warrick County	0.07	0.32	0.318	0.292	0.029
55117	Sheboygan County	0.076	0.367	0.318	0.238	0.029
55067	Langlade County	0.093	0.424	0.317	0.166	0.029
13317	Wilkes County	0.217	0.319	0.31	0.143	0.029
8019	Clear Creek County	0.021	0.205	0.309	0.464	0.029
48329	Midland County	0.063	0.288	0.309	0.268	0.029
46063	Harding County	0.103	0.35	0.307	0.308	0.029
33003	Carroll County	0.143	0.359	0.305	0.34	0.029
8000	Colorado	0.089	0.216	0.301	0.394	0.029
20171	Scott County	0.151	0.42	0.299	0.267	0.029
46031	Corson County	0.181	0.342	0.299	0.177	0.029
19021	Buena Vista County	0.206	0.298	0.296	0.201	0.029
20125	Montgomery County	0.212	0.369	0.296	0.187	0.029
55011	Buffalo County	0.216	0.399	0.296	0.179	0.029
55095	Polk County	0.157	0.355	0.293	0.198	0.029
49037	San Juan County	0.035	0.374	0.293	0.173	0.029
18053	Grant County	0.13	0.408	0.291	0.171	0.029
55047	Green Lake County	0.115	0.41	0.29	0.185	0.029
54105	Wirt County	0.152	0.484	0.289	0.075	0.029
33000	New Hampshire	0.072	0.28	0.288	0.36	0.029
17000	Illinois	0.114	0.263	0.288	0.334	0.029
18141	St. Joseph County	0.121	0.307	0.287	0.284	0.029
46051	Grant County	0.099	0.425	0.286	0.149	0.029
27009	Benton County	0.105	0.443	0.284	0.221	0.029
19173	Taylor County	0.205	0.426	0.283	0.143	0.029
29077	Greene County	0.234	0.37	0.282	0.305	0.029
29173	Ralls County	0.108	0.488	0.272	0.132	0.029
19065	Fayette County	0.204	0.379	0.271	0.198	0.029
31111	Lincoln County	0.17	0.439	0.27	0.222	0.029
18021	Clay County	0.215	0.414	0.265	0.166	0.029
47137	Pickett County	0.261	0.409	0.26	0.07	0.029
18023	Clinton County	0.138	0.446	0.259	0.157	0.029
55019	Clark County	0.293	0.283	0.254	0.114	0.029
51530	Buena Vista city	0.169	0.425	0.243	0.163	0.029
29107	Lafayette County	0.193	0.418	0.239	0.183	0.029
29041	Chariton County	0.115	0.492	0.229	0.164	0.029
6033	Lake County	0.132	0.334	0.222	0.153	0.029
5079	Lincoln County	0.122	0.532	0.213	0.079	0.029
8017	Cheyenne County	0.051	0.274	0.413	0.219	0.03
31121	Merrick County	0.07	0.344	0.41	0.176	0.03
18169	Wabash County	0.104	0.305	0.404	0.187	0.03
30105	Valley County	0.056	0.234	0.402	0.211	0.03
8089	Otero County	0.147	0.282	0.394	0.177	0.03
30091	Sheridan County	0.082	0.324	0.386	0.208	0.03
20137	Norton County	0.097	0.369	0.373	0.161	0.03
31099	Kearney County	0.06	0.345	0.372	0.223	0.03
19167	Sioux County	0.138	0.319	0.369	0.275	0.03
20191	Sumner County	0.079	0.346	0.366	0.209	0.03
31065	Furnas County	0.11	0.343	0.366	0.182	0.03
49047	Uintah County	0.141	0.351	0.365	0.143	0.03
27111	Otter Tail County	0.087	0.302	0.364	0.247	0.03
31103	Keya Paha County	0.071	0.358	0.364	0.206	0.03
27027	Clay County	0.089	0.313	0.362	0.332	0.03
19079	Hamilton County	0.098	0.37	0.362	0.235	0.03
18061	Harrison County	0.08	0.381	0.362	0.166	0.03
30041	Hill County	0.099	0.303	0.361	0.237	0.03
38025	Dunn County	0.099	0.312	0.359	0.23	0.03
19023	Butler County	0.076	0.396	0.359	0.169	0.03
31139	Pierce County	0.057	0.361	0.357	0.225	0.03
16001	Ada County	0.053	0.224	0.347	0.376	0.03
17179	Tazewell County	0.072	0.322	0.346	0.26	0.03
27043	Faribault County	0.092	0.394	0.341	0.173	0.03
18071	Jackson County	0.149	0.345	0.34	0.159	0.03
32000	Nevada	0.142	0.283	0.339	0.237	0.03
31165	Sioux County	0.074	0.323	0.337	0.266	0.03
46055	Haakon County	0.096	0.395	0.331	0.178	0.03
55005	Barron County	0.094	0.383	0.329	0.195	0.03
18049	Fulton County	0.155	0.394	0.329	0.128	0.03
37197	Yadkin County	0.207	0.346	0.327	0.12	0.03
55087	Outagamie County	0.062	0.329	0.325	0.283	0.03
46037	Day County	0.092	0.397	0.325	0.186	0.03
19077	Guthrie County	0.076	0.389	0.324	0.211	0.03
29141	Morgan County	0.195	0.312	0.322	0.126	0.03
51045	Craig County	0.14	0.392	0.321	0.192	0.03
48317	Martin County	0.097	0.26	0.32	0.206	0.03
55073	Marathon County	0.082	0.355	0.318	0.245	0.03
55033	Dunn County	0.067	0.339	0.317	0.277	0.03
19051	Davis County	0.147	0.361	0.314	0.178	0.03
23021	Piscataquis County	0.096	0.413	0.313	0.178	0.03
18091	LaPorte County	0.121	0.388	0.312	0.178	0.03
45091	York County	0.073	0.31	0.309	0.311	0.03
16073	Owyhee County	0.249	0.349	0.305	0.097	0.03
47177	Warren County	0.121	0.336	0.299	0.144	0.03
18119	Owen County	0.147	0.43	0.297	0.127	0.03
40047	Garfield County	0.12	0.36	0.295	0.225	0.03
19015	Boone County	0.132	0.356	0.294	0.242	0.03
51005	Alleghany County	0.211	0.308	0.294	0.158	0.03
55123	Vernon County	0.113	0.378	0.293	0.216	0.03
48223	Hopkins County	0.144	0.406	0.293	0.173	0.03
5000	Arkansas	0.144	0.343	0.292	0.22	0.03
20081	Haskell County	0.181	0.399	0.291	0.176	0.03
48063	Camp County	0.167	0.38	0.287	0.167	0.03
48405	San Augustine County	0.2	0.393	0.286	0.121	0.03
40073	Kingfisher County	0.119	0.359	0.284	0.237	0.03
48153	Floyd County	0.194	0.319	0.282	0.174	0.03
47153	Sequatchie County	0.169	0.408	0.278	0.145	0.03
18041	Fayette County	0.051	0.204	0.278	0.111	0.03
51051	Dickenson County	0.255	0.374	0.278	0.093	0.03
51095	James City County	0.057	0.194	0.27	0.479	0.03
16013	Blaine County	0.113	0.215	0.268	0.404	0.03
31089	Holt County	0.088	0.428	0.267	0.21	0.03
5117	Prairie County	0.172	0.424	0.266	0.138	0.03
5053	Grant County	0.272	0.304	0.261	0.19	0.03
5023	Cleburne County	0.242	0.374	0.26	0.159	0.03
50000	Vermont	0.077	0.296	0.259	0.368	0.03
50005	Caledonia County	0.094	0.374	0.253	0.279	0.03
30011	Carter County	0.211	0.396	0.253	0.166	0.03
27153	Todd County	0.223	0.399	0.253	0.145	0.03
51067	Franklin County	0.124	0.428	0.251	0.207	0.03
31081	Hamilton County	0.038	0.152	0.235	0.257	0.03
19185	Wayne County	0.27	0.385	0.231	0.138	0.03
19081	Hancock County	0.302	0.418	0.193	0.207	0.03
20133	Neosho County	0.081	0.312	0.413	0.194	0.031
55093	Pierce County	0.096	0.336	0.41	0.277	0.031
19147	Palo Alto County	0.056	0.29	0.399	0.256	0.031
31013	Box Butte County	0.083	0.346	0.397	0.174	0.031
20151	Pratt County	0.082	0.258	0.396	0.264	0.031
27159	Wadena County	0.106	0.369	0.395	0.129	0.031
20029	Cloud County	0.087	0.309	0.392	0.212	0.031
49023	Juab County	0.076	0.371	0.386	0.168	0.031
20075	Hamilton County	0.074	0.307	0.384	0.178	0.031
46105	Perkins County	0.109	0.281	0.381	0.194	0.031
19149	Plymouth County	0.074	0.343	0.376	0.207	0.031
8111	San Juan County	0.163	0.316	0.375	0.298	0.031
19091	Humboldt County	0.095	0.24	0.371	0.202	0.031
31023	Butler County	0.077	0.263	0.368	0.187	0.031
18103	Miami County	0.051	0.324	0.366	0.126	0.031
49000	Utah	0.082	0.228	0.364	0.325	0.031
55027	Dodge County	0.053	0.337	0.364	0.161	0.031
30087	Rosebud County	0.124	0.328	0.36	0.188	0.031
27095	Mille Lacs County	0.102	0.384	0.359	0.155	0.031
55105	Rock County	0.063	0.394	0.353	0.214	0.031
18129	Posey County	0.064	0.377	0.353	0.207	0.031
31005	Arthur County	0.049	0.299	0.352	0.299	0.031
20043	Doniphan County	0.099	0.381	0.35	0.17	0.031
46111	Sanborn County	0.09	0.377	0.349	0.185	0.031
27157	Wabasha County	0.076	0.359	0.348	0.216	0.031
19143	Osceola County	0.14	0.322	0.348	0.177	0.031
47009	Blount County	0.202	0.323	0.344	0.234	0.031
20037	Crawford County	0.156	0.37	0.343	0.289	0.031
18013	Brown County	0.083	0.377	0.342	0.255	0.031
20117	Marshall County	0.071	0.413	0.341	0.186	0.031
19179	Wapello County	0.126	0.355	0.335	0.184	0.031
38047	Logan County	0.108	0.359	0.335	0.137	0.031
8033	Dolores County	0.091	0.377	0.333	0.198	0.031
